Host,Formula,Crystal Category,Dopant Material,Concentration,Dopant Site,Temperature (K) ,Seebeck Coefficient (µV/K),Resistivity(Ω*m),Electrical Conductivity (S/m),Crystal Structure,Microstructure,Experimental Preparation Notes,Paper (hyperlink),,,,,,
Ni2MnGa,Ni2MnGa0.80Al0.20,,Al,0.2,Ga,27.8437,0.06,110.634,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.80Al0.20,,Al,0.2,Ga,48.173,-2.26,111.0852,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.80Al0.20,,Al,0.2,Ga,69.1942,-5.49,112.103,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.80Al0.20,,Al,0.2,Ga,90.8719,-8.80,113.6894,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.80Al0.20,,Al,0.2,Ga,113.2105,-12.31,115.8395,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.80Al0.20,,Al,0.2,Ga,140.7651,-15.72,119.1272,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.80Al0.20,,Al,0.2,Ga,180.0052,-17.76,124.8201,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.80Al0.20,,Al,0.2,Ga,208.7285,-18.03,129.617,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.80Al0.20,,Al,0.2,Ga,252.3711,-16.27,139.0055,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.80Al0.20,,Al,0.2,Ga,281.0077,-14.55,147.6912,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.80Al0.20,,Al,0.2,Ga,314.8294,-12.03,160.3074,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.80Al0.20,,Al,0.2,Ga,349.9644,-9.69,174.0991,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.80Al0.20,,Al,0.2,Ga,377.298,-8.02,183.1221,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
