Host,Composition,Crystal Category,Dopant Material,Concentration,Dopant Site,Temperature,Seebeck Coefficient,Electrical Resistivity,Electrical Conductivity (S/m),Crystal Structure,Microstructure,Experimental Preparation Notes,Paper (hyperlink),,,,,,
Ni2MnGa,Ni2MnGa0.80Al0.20,X2YZ,Al,0.2,Ga,252.3711,-16.2665,1.39E-05,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.80Al0.20,X2YZ,Al,0.2,Ga,281.0077,-14.5509,1.48E-05,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.80Al0.20,X2YZ,Al,0.2,Ga,314.8294,-12.0270,1.60E-05,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.80Al0.20,X2YZ,Al,0.2,Ga,349.9644,-9.6927,1.74E-05,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.80Al0.20,X2YZ,Al,0.2,Ga,377.2980,-8.0249,1.83E-05,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.80Al0.20,X2YZ,Al,0.2,Ga,398.1477,-7.3079,1.87E-05,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Co2MnSi,Co2MnSi,X2YZ,,,,40.6926,-3.0196,9.04E-07,,,Heusler thin film,"compounds grown as thin films by molecular beam expitaxy, annealed at 600C",Anamolous Nernst and Seebeck coefficients in the expitaxial thin film,,,,,,
Co2MnSi,Co2MnSi,X2YZ,,,,84.4156,-3.5387,1.15E-06,,,Heusler thin film,"compounds grown as thin films by molecular beam expitaxy, annealed at 600C",Anamolous Nernst and Seebeck coefficients in the expitaxial thin film,,,,,,
Co2MnSi,Co2MnSi,X2YZ,,,,157.5758,-7.3425,1.69E-06,,,Heusler thin film,"compounds grown as thin films by molecular beam expitaxy, annealed at 600C",Anamolous Nernst and Seebeck coefficients in the expitaxial thin film,,,,,,
Co2MnSi,Co2MnSi,X2YZ,,,,232.4675,-11.8039,2.19E-06,,,Heusler thin film,"compounds grown as thin films by molecular beam expitaxy, annealed at 600C",Anamolous Nernst and Seebeck coefficients in the expitaxial thin film,,,,,,
Co2MnSi,Co2MnSi,X2YZ,,,,297.8355,-15.9379,2.64E-06,,,Heusler thin film,"compounds grown as thin films by molecular beam expitaxy, annealed at 600C",Anamolous Nernst and Seebeck coefficients in the expitaxial thin film,,,,,,
Co2MnSi,Co2MnSi,X2YZ,,,,400.4329,-22.6315,3.46E-06,,,Heusler thin film,"compounds grown as thin films by molecular beam expitaxy, annealed at 600C",Anamolous Nernst and Seebeck coefficients in the expitaxial thin film,,,,,,
Co2MnSi,Co2MnSi0.67Al0.33,X2YZ,Al,0.33,,12.1212,-0.2612,4.61E-06,,,Heusler thin film,"compounds grown as thin films by molecular beam expitaxy, annealed at 600C",Anamolous Nernst and Seebeck coefficients in the expitaxial thin film,,,,,,
Co2MnSi,Co2MnSi0.67Al0.33,X2YZ,Al,0.33,,39.3939,-7.0988,4.67E-06,,,Heusler thin film,"compounds grown as thin films by molecular beam expitaxy, annealed at 600C",Anamolous Nernst and Seebeck coefficients in the expitaxial thin film,,,,,,
Co2MnSi,Co2MnSi0.67Al0.33,X2YZ,Al,0.33,,101.7316,-7.8780,4.99E-06,,,Heusler thin film,"compounds grown as thin films by molecular beam expitaxy, annealed at 600C",Anamolous Nernst and Seebeck coefficients in the expitaxial thin film,,,,,,
Co2MnSi,Co2MnSi0.67Al0.33,X2YZ,Al,0.33,,153.6797,-10.4353,5.41E-06,,,Heusler thin film,"compounds grown as thin films by molecular beam expitaxy, annealed at 600C",Anamolous Nernst and Seebeck coefficients in the expitaxial thin film,,,,,,
Co2MnSi,Co2MnSi0.67Al0.33,X2YZ,Al,0.33,,210.3896,-14.8338,5.93E-06,,,Heusler thin film,"compounds grown as thin films by molecular beam expitaxy, annealed at 600C",Anamolous Nernst and Seebeck coefficients in the expitaxial thin film,,,,,,
Co2MnSi,Co2MnSi0.67Al0.33,X2YZ,Al,0.33,,287.0130,-21.5317,6.60E-06,,,Heusler thin film,"compounds grown as thin films by molecular beam expitaxy, annealed at 600C",Anamolous Nernst and Seebeck coefficients in the expitaxial thin film,,,,,,
Co2MnSi,Co2MnSi0.67Al0.33,X2YZ,Al,0.33,,351.0823,-27.0475,7.18E-06,,,Heusler thin film,"compounds grown as thin films by molecular beam expitaxy, annealed at 600C",Anamolous Nernst and Seebeck coefficients in the expitaxial thin film,,,,,,
Co2MnSi,Co2MnSi0.67Al0.33,X2YZ,Al,0.33,,401.7316,-31.1181,7.69E-06,,,Heusler thin film,"compounds grown as thin films by molecular beam expitaxy, annealed at 600C",Anamolous Nernst and Seebeck coefficients in the expitaxial thin film,,,,,,
Co2MnSi,Co2MnSi0.33Al0.67,X2YZ,Al,0.67,,22.5108,-11.3121,1.43E-05,,,Heusler thin film,"compounds grown as thin films by molecular beam expitaxy, annealed at 600C",Anamolous Nernst and Seebeck coefficients in the expitaxial thin film,,,,,,
