Composition,Temperature,Seebeck Coefficient,Electrical Resistivity
Fe2VAl,200.0,25.52072167536582,1.2462349900131811e-05
Fe2VAl,250.0,26.769546152371134,9.876911513498415e-06
Fe2VAl,300.0,27.23506408271046,7.748704653749373e-06
Fe2VAl,350.0,27.580538950859896,6.0905781255630685e-06
Fe2VAl0.95Ge0.05,100.0,-80.29770639025833,2.1776042481170022e-06
Fe2VAl0.95Ge0.05,150.0,-103.7397676706,2.726230653113967e-06
Fe2VAl0.95Ge0.05,200.0,-125.11667218810001,3.2784283386598974e-06
Fe2VAl0.95Ge0.05,250.0,-135.7079211738,3.737394097288095e-06
Fe2VAl0.95Ge0.05,300.0,-131.3829028885,4.048189845489574e-06
Fe2VAl0.95Ge0.05,350.0,-115.07066452240001,4.1908225929548835e-06
Fe2VAl0.95Ge0.05,400.0,-99.22968409406349,4.173324411815935e-06
Fe2VAl0.90Ge0.10,100.0,-67.61742554075741,9.222718892694154e-07
Fe2VAl0.90Ge0.10,150.0,-86.83370781362125,1.30050622832308e-06
Fe2VAl0.90Ge0.10,200.0,-104.4891990024,1.7562165404423088e-06
Fe2VAl0.90Ge0.10,250.0,-117.7448723617,2.2163371307646146e-06
Fe2VAl0.90Ge0.10,300.0,-123.2215890624,2.6308795980542884e-06
Fe2VAl0.90Ge0.10,350.0,-118.9662232536,2.9696974362521695e-06
Fe2VAl0.90Ge0.10,400.0,-106.4177871243,3.2192506360253944e-06
Fe2VAl0.97Ge0.03,150.0,-93.1170792008454,6.180534677464694e-06
Fe2VAl0.97Ge0.03,200.0,-113.066858106,6.3513625878168335e-06
Fe2VAl0.97Ge0.03,250.0,-121.3058997159,6.279564118248828e-06
Fe2VAl0.97Ge0.03,300.0,-113.8263816635,5.997718905083857e-06
Fe2VAl0.97Ge0.03,350.0,-93.29541559930746,5.554118877983037e-06
Fe2VAl0.97Ge0.03,400.0,-67.72980282642314,5.007377458352355e-06
Fe2VAl0.80Ge0.20,150.0,-63.555851160165346,1.0944655929683988e-06
Fe2VAl0.80Ge0.20,200.0,-77.3187749789494,1.3773623999272643e-06
Fe2VAl0.80Ge0.20,250.0,-89.620268224686,1.6835442193484834e-06
Fe2VAl0.80Ge0.20,300.0,-98.64276991645164,1.988121163070349e-06
Fe2VAl0.80Ge0.20,350.0,-102.84846088699999,2.2722014211229502e-06
Fe2VAl0.80Ge0.20,400.0,-104.0504879078,2.522296360993422e-06
CePd2Pt,100.0,110.79377959600001,2.1188031104718054e-06
CePd2Pt,150.0,112.6811431122,1.761620043669229e-06
CePd2Pt,200.0,107.0646679922,1.4910139134715074e-06
CePd2Pt,250.0,102.59694893080001,1.326080172139485e-06
CePd2Pt,300.0,98.96843804614082,1.2161140323255696e-06
CePd2Pt,100.0,112.8535556194,2.0941383580787982e-06
CePd2Pt,150.0,114.10832050590001,1.7405111765362055e-06
CePd2Pt,200.0,109.2279581049,1.4851789136444365e-06
CePd2Pt,250.0,104.6088786521,1.33293395285539e-06
CePd2Pt,300.0,98.81770219420123,1.2263772322783768e-06
Fe2VAl,350.0,6.391506287640826,3.3663189593729733e-06
Fe2VAl,400.0,5.864904053103602,3.222100950098911e-06
Fe2VAl,450.0,5.427545680559265,3.144043057010874e-06
Fe2VAl,500.0,5.094730221729549,3.00084170082665e-06
Fe2VAl,550.0,5.016500214983225,2.92402615531545e-06
Fe2VAl,600.0,5.303742620060429,3.086541723400178e-06
Fe2VAl,650.0,5.854289752795462,3.4813329132607094e-06
Fe2VAl,350.0,5.988097770022503,3.511284401786925e-06
Fe2VAl,400.0,5.215026447740628,3.427497537609046e-06
Fe2VAl,450.0,5.199708828261822,3.230472942952211e-06
Fe2VAl,500.0,4.941981806825136,3.077518078887148e-06
Fe2VAl,550.0,4.645887212395192,3.0238469113239225e-06
Fe2VAl,600.0,4.8785375312089325,3.1168213112672756e-06
Fe2VAl,650.0,5.728981630327896,3.4901924550710672e-06
Fe2VAl,400.0,20.307896966982142,4.51211624381496e-06
Fe2VAl,450.0,18.96064347613679,4.292144983552108e-06
Fe2VAl,500.0,16.72887408618419,4.0735214026561324e-06
Fe2VAl,550.0,14.610846866510457,3.852887164670067e-06
Fe2VAl,600.0,13.288933792991525,3.6339962211220943e-06
Fe2VAl,650.0,12.549169499172448,3.457229115016763e-06
Fe2VAl,400.0,25.137495007515664,6.965524500040783e-06
Fe2VAl,450.0,22.591387397832104,6.164653451390021e-06
Fe2VAl,500.0,19.577279552362384,5.557676888436037e-06
Fe2VAl,550.0,16.549044852637046,5.225852236161069e-06
Fe2VAl,600.0,13.689964151132083,4.953001304575295e-06
Fe2VAl,650.0,11.14389442960457,4.584853910362689e-06
Fe2VAl,350.0,71.86585587452919,8.52285838644852e-06
Fe2VAl,400.0,63.67684638082255,8.01921652174928e-06
Fe2VAl,450.0,56.70582514933405,7.59497696230711e-06
Fe2VAl,500.0,48.465154158133664,7.0886271637338394e-06
Fe2VAl,550.0,39.507753297130876,6.483192614947035e-06
Fe2VAl,600.0,31.48132895457699,5.843170720166456e-06
Fe2VAl,650.0,25.18260260358585,5.2514646809099694e-06
Fe2VAl,400.0,70.52880750339715,5.022081054742196e-06
Fe2VAl,450.0,64.7597652212089,4.705166889985968e-06
Fe2VAl,500.0,56.72207430750626,4.3704834634920835e-06
Fe2VAl,550.0,48.07921600900791,4.0530410806663785e-06
Fe2VAl,600.0,40.24895556556255,3.753006317127955e-06
Fe2VAl,650.0,33.549977880778805,3.451480262043877e-06
PuPd2Sn,50.0,-2.7639569301299627,1.1054182853553595e-06
PuPd2Sn,100.0,-2.5590128696874803,1.1272592731605938e-06
PuPd2Sn,150.0,-1.705513836053404,1.1477263129777977e-06
PuPd2Sn,200.0,-0.9454295443999541,1.1873302499514975e-06
PuPd2Sn,250.0,0.00011560530516709364,1.1952679583120165e-06
Fe2VAl0.9Si0.1,350.0,-142.1583423766,4.708360214793811e-06
Fe2VAl0.9Si0.1,400.0,-127.7019099638,4.615665675842738e-06
Fe2VAl0.9Si0.1,450.0,-106.1672669131,4.489193736920145e-06
Fe2VAl0.9Si0.1,500.0,-84.24966691930233,4.310610344712154e-06
Fe2VAl0.9Si0.1,550.0,-65.4211041449717,4.072543565103578e-06
Fe2VAl0.9Si0.1,600.0,-50.83035277108944,3.787152604337602e-06
Fe2VAl0.9Si0.1,650.0,-40.20300654753112,3.4946968301754768e-06
Fe2VAl0.9Si0.1,700.0,-32.7415183435703,3.2721047930562276e-06
