Composition,Site_X,Site_Y,Site_Z,Temperature,Z_Range_GSvolume_pa,Z_Range_GSbandgap,Y_Range_GSmagmom,Z_Range_AtomicWeight,Z_Range_Number,Y_Range_SpaceGroupNumber,Z_Range_GSmagmom,Z_Mean_GSvolume_pa,Z_Max_NdUnfilled,Z_Mean_NdUnfilled,Z_Range_SpaceGroupNumber,Z_Mean_Electronegativity,Z_Range_NdUnfilled,Z_Range_Row,Y_Mean_GSmagmom,Z_Range_NfValence,Z_Range_NValence,Z_Max_NUnfilled,Y_Max_GSmagmom,Z_Range_NUnfilled,Z_Range_MendeleevNumber,Z_Min_Column,Z_Min_Electronegativity,Z_Min_MendeleevNumber,Z_Mean_NUnfilled,Z_Range_Column,Z_Mean_NpUnfilled,Z_Range_Electronegativity,Y_Range_Electronegativity,Z_Mean_MendeleevNumber,Y_Mean_Electronegativity,Y_Min_Electronegativity,Z_Mean_MeltingT,Z_Mean_SpaceGroupNumber,Z_Max_Electronegativity,Y_Mean_MeltingT,Z_Mean_CovalentRadius,Z_Mean_GSbandgap,Z_Max_MeltingT,Seebeck Coefficient,Electrical Resistivity
Co2Mn0.2Ti0.8Sn,Co2.000,Mn0.200Ti0.800,Sn1.000,300.0,0.0,0.0,0.0002875873563216,0.0,0.0,23.0,0.0,33.285,0.0,0.0,0.0,1.96,0.0,0.0,8.005080459764e-05,0.0,0.0,4.0,0.000310120689655,0.0,0.0,14.0,1.96,80.0,4.0,0.0,4.0,0.0,0.01,80.0,1.5420000000000005,1.54,505.08,141.0,1.96,1856.6,139.0,0.0,505.08,-11.08657842727174,1.7262222675423373e-05
Co2Mn0.2Ti0.8Sn,Co2.000,Mn0.200Ti0.800,Sn1.000,350.0,0.0,0.0,0.0002875873563216,0.0,0.0,23.0,0.0,33.285,0.0,0.0,0.0,1.96,0.0,0.0,8.005080459764e-05,0.0,0.0,4.0,0.000310120689655,0.0,0.0,14.0,1.96,80.0,4.0,0.0,4.0,0.0,0.01,80.0,1.5420000000000005,1.54,505.08,141.0,1.96,1856.6,139.0,0.0,505.08,-17.43968486674002,1.7812129986379928e-05
Co2TiSn,Co2.000,Ti1.000,Sn1.000,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.285,0.0,0.0,0.0,1.96,0.0,0.0,2.25333333333e-05,0.0,0.0,4.0,2.25333333333e-05,0.0,0.0,14.0,1.96,80.0,4.0,0.0,4.0,0.0,0.0,80.0,1.54,1.54,505.08,141.0,1.96,1941.0,139.0,0.0,505.08,-2.099039368375657,2.4649296924297625e-06
Co2TiSn,Co2.000,Ti1.000,Sn1.000,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.285,0.0,0.0,0.0,1.96,0.0,0.0,2.25333333333e-05,0.0,0.0,4.0,2.25333333333e-05,0.0,0.0,14.0,1.96,80.0,4.0,0.0,4.0,0.0,0.0,80.0,1.54,1.54,505.08,141.0,1.96,1941.0,139.0,0.0,505.08,-3.9626041284305455,2.572429466393716e-06
Co2TiSn,Co2.000,Ti1.000,Sn1.000,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.285,0.0,0.0,0.0,1.96,0.0,0.0,2.25333333333e-05,0.0,0.0,4.0,2.25333333333e-05,0.0,0.0,14.0,1.96,80.0,4.0,0.0,4.0,0.0,0.0,80.0,1.54,1.54,505.08,141.0,1.96,1941.0,139.0,0.0,505.08,-6.110146119283538,2.7149158808275538e-06
Co2TiSn,Co2.000,Ti1.000,Sn1.000,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.285,0.0,0.0,0.0,1.96,0.0,0.0,2.25333333333e-05,0.0,0.0,4.0,2.25333333333e-05,0.0,0.0,14.0,1.96,80.0,4.0,0.0,4.0,0.0,0.0,80.0,1.54,1.54,505.08,141.0,1.96,1941.0,139.0,0.0,505.08,-10.58592125466538,2.8973751419048975e-06
Co2TiSn,Co2.000,Ti1.000,Sn1.000,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.285,0.0,0.0,0.0,1.96,0.0,0.0,2.25333333333e-05,0.0,0.0,4.0,2.25333333333e-05,0.0,0.0,14.0,1.96,80.0,4.0,0.0,4.0,0.0,0.0,80.0,1.54,1.54,505.08,141.0,1.96,1941.0,139.0,0.0,505.08,-19.875800211978493,3.147644004972738e-06
Co2TiSn,Co2.000,Ti1.000,Sn1.000,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.285,0.0,0.0,0.0,1.96,0.0,0.0,2.25333333333e-05,0.0,0.0,4.0,2.25333333333e-05,0.0,0.0,14.0,1.96,80.0,4.0,0.0,4.0,0.0,0.0,80.0,1.54,1.54,505.08,141.0,1.96,1941.0,139.0,0.0,505.08,-34.060211976648624,3.4571705184293556e-06
Co2TiSn,Co2.000,Ti1.000,Sn1.000,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.285,0.0,0.0,0.0,1.96,0.0,0.0,2.25333333333e-05,0.0,0.0,4.0,2.25333333333e-05,0.0,0.0,14.0,1.96,80.0,4.0,0.0,4.0,0.0,0.0,80.0,1.54,1.54,505.08,141.0,1.96,1941.0,139.0,0.0,505.08,-47.967087386476514,3.721774767602244e-06
Fe2VAl0.9Si0.1,Fe2.000,V1.000,Al0.900Si0.100,350.0,3.960000000000001,0.773,0.0,1.103961399999999,1.0,0.0,0.0,16.876,0.0,0.0,2.0,1.639,0.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,5.0,13.0,1.61,73.0,4.9,1.0,4.9,0.2899999999999998,0.0,73.5,1.63,1.63,1008.823,225.2,1.9,2183.0,120.0,0.0773,1687.0,-125.8433683167,1.074205791769195e-05
Fe2VAl0.9Si0.1,Fe2.000,V1.000,Al0.900Si0.100,400.0,3.960000000000001,0.773,0.0,1.103961399999999,1.0,0.0,0.0,16.876,0.0,0.0,2.0,1.639,0.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,5.0,13.0,1.61,73.0,4.9,1.0,4.9,0.2899999999999998,0.0,73.5,1.63,1.63,1008.823,225.2,1.9,2183.0,120.0,0.0773,1687.0,-113.2675189227,1.090589417821016e-05
Fe2VAl0.9Si0.1,Fe2.000,V1.000,Al0.900Si0.100,450.0,3.960000000000001,0.773,0.0,1.103961399999999,1.0,0.0,0.0,16.876,0.0,0.0,2.0,1.639,0.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,5.0,13.0,1.61,73.0,4.9,1.0,4.9,0.2899999999999998,0.0,73.5,1.63,1.63,1008.823,225.2,1.9,2183.0,120.0,0.0773,1687.0,-99.76625614549287,1.0570174974224604e-05
Fe2VAl0.9Si0.1,Fe2.000,V1.000,Al0.900Si0.100,500.0,3.960000000000001,0.773,0.0,1.103961399999999,1.0,0.0,0.0,16.876,0.0,0.0,2.0,1.639,0.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,5.0,13.0,1.61,73.0,4.9,1.0,4.9,0.2899999999999998,0.0,73.5,1.63,1.63,1008.823,225.2,1.9,2183.0,120.0,0.0773,1687.0,-84.53075446438092,1.0113184539698196e-05
Fe2VAl0.9Si0.1,Fe2.000,V1.000,Al0.900Si0.100,550.0,3.960000000000001,0.773,0.0,1.103961399999999,1.0,0.0,0.0,16.876,0.0,0.0,2.0,1.639,0.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,5.0,13.0,1.61,73.0,4.9,1.0,4.9,0.2899999999999998,0.0,73.5,1.63,1.63,1008.823,225.2,1.9,2183.0,120.0,0.0773,1687.0,-68.67330727111784,9.68886798378148e-06
Fe2VAl0.9Si0.1,Fe2.000,V1.000,Al0.900Si0.100,600.0,3.960000000000001,0.773,0.0,1.103961399999999,1.0,0.0,0.0,16.876,0.0,0.0,2.0,1.639,0.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,5.0,13.0,1.61,73.0,4.9,1.0,4.9,0.2899999999999998,0.0,73.5,1.63,1.63,1008.823,225.2,1.9,2183.0,120.0,0.0773,1687.0,-54.187983758457534,9.310651420963713e-06
Fe2VAl0.9Si0.1,Fe2.000,V1.000,Al0.900Si0.100,650.0,3.960000000000001,0.773,0.0,1.103961399999999,1.0,0.0,0.0,16.876,0.0,0.0,2.0,1.639,0.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,5.0,13.0,1.61,73.0,4.9,1.0,4.9,0.2899999999999998,0.0,73.5,1.63,1.63,1008.823,225.2,1.9,2183.0,120.0,0.0773,1687.0,-42.911285809154634,8.935262101224454e-06
